Text,Label
kata gue lu pada jangan moots sama akun akun kfans tolol itu ya buruan rnb,Kata Kasar dan Vulgar
km dari titik jemput tolol sih gojek,Kata Kasar dan Vulgar
INDOSAT KONTOL BABI ANJING USER USER HARI SINYAL LU GABERES ANJING KONTOL GUA GABISA KERJA GABISA STREAMING GABISA MAEN NGENTOT BENERIN SINYAL LU KONTOLLLLL,Kata Kasar dan Vulgar
USER yapp tiap hari gw sepong kontol nya pagi² ngaceng langsung gw sepong gw minum peju nya,Sexual Harassment
dion lo gak pernah fokus sama misi ini lo itu leader kita sen harusnya lo kasih tau lo arahin tim lo lo mau tunggu gua mati baru lho sadar dion best marahin aja itu si sena BATTLE OF SENA DIPA,Kata Kasar dan Vulgar
dan sampai pun diatas gerbong pun juga cowo njir ehh SJW ngentot bukan itu poinnya bwego reaksi akhir ini tuh cowok mah bukan takut tapi lebih ke ngeledek statement PPPA yang nyuruh pindah gerbong guoblokh,Kata Kasar dan Vulgar
USER anjing padahal cowonya dah baik banget minta maaf dan jelasin kenapa gabisa ke safari babi lahh malah dijawab wkwk doang anjinggg lo kira lo oke kaga yeu sorry kalo kasar tapi emang kelakuan lu gapantes banget kalo ngebet ke safari ya sono ke safari sendiri taii,Kata Kasar dan Vulgar
monyet lu,Kata Kasar dan Vulgar
monyet lu,Kata Kasar dan Vulgar
monyet lu,Kata Kasar dan Vulgar
monyet lu,Kata Kasar dan Vulgar
USER idihhh ganteng lo jelek bgttt ihhh,Body Shaming
mau ngewe sama soobin tapi semua rp nya boti dahlah,Sexual Harassment
USER USER bayern pinter ga kek chelsea goblok semua pemain tolol dibeli mahal,Kata Kasar dan Vulgar
anjing udh bener lu balik minta maaf malah deact lagi maunya apa nyet,Kata Kasar dan Vulgar
USER kalah lu mah cupu,Kata Kasar dan Vulgar
sok nanya gw jd naek gunung pa kaga babi lah puas kan lo rencana lo berhasil fak,Kata Kasar dan Vulgar
lu ngatain org boti tp u pake lagu bmth yg dimana oli nya aja dukung lgbt anjir wkwk goblok bat ini ngaber,Kata Kasar dan Vulgar
tolol lu goblok,Kata Kasar dan Vulgar
bajingan lu pak,Kata Kasar dan Vulgar
USER colmek baru ngewe,Sexual Harassment
sayang makasih udah berani banget buat nyebut terang terangan dan bahkan mendukung semua keputusan beliau buat kehidupan selanjutnya makasih udh berani pdhl lu tau sebrengsek apa hal yg bakal lu dapetin dari si bajingan re sm,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER otak udang,Kata Kasar dan Vulgar
USER USER segala bertingkah sesuai bentukan lawan bicara emg dasarnya lu aja yg dungu punya gangguan jiwa makanya lu bisa marah marah ke akun org yg gk lu kenal samsek berani begini di twitter doang di rl macam bocah cupu nolep ceming,Kata Kasar dan Vulgar
STOP CYBER BULLYING kata kata di layar bisa melukai lebih dalam dari yang kamu kira jelek kurus hitam gendut semua itu bukan kritik itu bullying jari yang menunjuk komentar yang menyakitkan dan kata kata kasar di media sosial meninggalkan luka yang tak terlihat,Non-Cyberbullying
USER USER USER USER tipikal pancier ngerasa paling tahu tahu bulat digoreng dadakan an mana ada org malsuin tp pakai foto orang lain mikir dikit lah otak udang aja paham kok otak panci kagak,Kata Kasar dan Vulgar
USER USER USER USER USER USER USER USER gaada yg haram tapi cara protes lo jelek kecuali lo bisa buktiin kalo yg diisi udah bener ada bukti jawaban dari AR KPP yg ga kompeten profesional gue bakal dukung ini buktinya gue tanya argumen aja lo malah geser gawang terus kalo cuma surat mah itu template njr,Kata Kasar dan Vulgar
USER USER ya lu kalo minor ketikan lu jaga minor kok ngatain oldest dukung pedopil goblok,Kata Kasar dan Vulgar
USER terlalu cupu lu jadi admin media apalagi wakilin nama persija kalah yaa akuin kalah semua karena bobroknha manajemen tim bapuk lu tolol,Kata Kasar dan Vulgar
